Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Type
Badenscher Hof,badenscher-hof,63ac68190f44f700e16ae0f8,64245e03b543bc7640380548,2023-03-29 15:49:23,2023-03-29 15:49:23,2023-03-29 15:49:23,Bar/Restaurant/Small venue
Baergarten at Revier Südost,baergarten-at-revier-sudost,63ac68190f44f700e16ae0f8,642eff5cb932f30108b41ca5,2023-04-06 17:20:27,2023-04-06 17:20:27,2023-04-06 17:20:27,Bar/Restaurant/Small venue
Baketown,baketown,63ac68190f44f700e16ae0f8,641dcb6dad39aee943560cbc,2023-03-24 16:10:21,2023-03-24 16:10:21,2023-03-24 16:10:21,Bar/Restaurant/Small venue
Banja Luka,banja-luka,63ac68190f44f700e16ae0f8,63dbb5701f7cb7f389755e9f,2023-02-02 13:06:56,2023-02-02 13:06:56,2023-02-02 13:06:56,Large club/venue
Bar Bobu,bar-bobu,63ac68190f44f700e16ae0f8,640a19a696646e6e84b77928,2023-03-09 17:38:46,2023-03-09 17:38:46,2023-03-09 17:38:46,Bar/Restaurant/Small venue
Bar Voyage,bar-voyage,63ac68190f44f700e16ae0f8,63c4787d74f934750ec4b9a0,2023-01-15 22:04:45,2023-01-15 22:04:45,2023-01-15 22:16:59,Bar/Restaurant/Small venue
Beate Uwe,beate-uwe,63ac68190f44f700e16ae0f8,63c47e794553f68ccfd920b4,2023-01-15 22:30:17,2023-04-09 11:21:01,2023-04-09 11:21:01,Mid-size club/venue
Berghain | Panorama Bar,berghain,63ac68190f44f700e16ae0f8,63c033c95e79af658778fb11,2023-01-12 16:22:33,2023-03-30 15:56:01,2023-03-30 15:56:01,Large club/venue
Berlin State Opera,berlin-state-opera,63ac68190f44f700e16ae0f8,6410b528d5e039013496b093,2023-03-14 17:55:52,2023-03-14 17:55:52,2023-03-14 17:55:52,Large club/venue
Birgit,birgit,63ac68190f44f700e16ae0f8,63c46faea9dabe37104adb12,2023-01-15 21:27:10,2023-01-15 21:35:41,2023-01-15 22:16:59,Large club/venue
Bohnengold,bohnengold,63ac68190f44f700e16ae0f8,63c486839bcbb44e758fde2d,2023-01-15 23:04:35,2023-01-15 23:04:35,2023-01-15 23:07:46,Bar/Restaurant/Small venue
Borchardt,borchardt,63ac68190f44f700e16ae0f8,6410ba03fb478bd2219590ef,2023-03-14 18:16:35,2023-03-14 18:16:59,2023-03-14 18:16:59,Bar/Restaurant/Small venue
Bricks,bricks,63ac68190f44f700e16ae0f8,6424605d6752a861a8f41316,2023-03-29 15:59:25,2023-03-29 15:59:25,2023-03-29 15:59:25,Large club/venue
Bulbul Berlin,bulbul-berlin,63ac68190f44f700e16ae0f8,63c47831ab4c864d4dbaec9a,2023-01-15 22:03:29,2023-01-15 22:03:29,2023-01-15 22:16:59,Bar/Restaurant/Small venue
Cassiopeia,cassiopeia,63ac68190f44f700e16ae0f8,63d26db08b9a131da04a16e2,2023-01-26 12:10:24,2023-01-26 12:10:24,2023-01-26 12:10:24,Large club/venue
Chausseestraße 131 / Bar 131,chausseestrasse-131,63ac68190f44f700e16ae0f8,63e505cca0742403675c132e,2023-02-09 14:40:12,2023-02-14 17:08:04,2023-02-14 17:08:04,Bar/Restaurant/Small venue
Christa Kupfer,christa-kupfer,63ac68190f44f700e16ae0f8,63c46e3074f934ef41c3c4e4,2023-01-15 21:20:48,2023-03-30 15:58:00,2023-03-30 15:58:00,Mid-size club/venue
Club der Visionaere,club-der-visionaere,63ac68190f44f700e16ae0f8,644d53c2714748eb03a765cd,2023-04-29 17:28:34,2023-04-29 17:28:34,2023-04-29 17:28:34,Bar/Restaurant/Small venue
Club M01,club-m01,63ac68190f44f700e16ae0f8,641df202c48d0ba2ebf258c1,2023-03-24 18:54:58,2023-03-24 18:54:58,2023-03-24 18:54:58,Large club/venue
Club OST,club-ost,63ac68190f44f700e16ae0f8,63c01e97be3fbf00b17bfd25,2023-01-12 14:52:07,2023-03-30 15:55:10,2023-03-30 15:55:10,Large club/venue
Columbia Theater,columbia-theater,63ac68190f44f700e16ae0f8,63f8f51a5b14ac5eafc44685,2023-02-24 17:34:18,2023-02-24 17:34:18,2023-02-24 17:34:18,Large club/venue
Crack Bellmer,crack-bellmer,63ac68190f44f700e16ae0f8,63c474d71c21782c8dcc6398,2023-01-15 21:49:11,2023-01-15 21:49:11,2023-01-15 22:16:59,Large club/venue
D59B | Berlin,d59b-berlin,63ac68190f44f700e16ae0f8,641dede456c5f5154c55fda0,2023-03-24 18:37:24,2023-03-24 18:37:24,2023-03-24 18:37:24,Bar/Restaurant/Small venue
Daadgalerie,daadgalerie,63ac68190f44f700e16ae0f8,64623515b0f68ca33876f967,2023-05-15 13:35:17,2023-05-15 13:35:17,2023-05-15 13:35:17,Mid-size club/venue
Dark Matter,dark-matter,63ac68190f44f700e16ae0f8,647f4d8b39fa552032cc5220,2023-06-06 15:15:23,2023-06-06 15:15:23,2023-06-06 15:15:23,Large club/venue
Der Weiße Hase/The White Rabbit,der-weisse-hase,63ac68190f44f700e16ae0f8,63bd97d7fa1450da1a56643f,2023-01-10 16:52:39,2023-03-30 15:50:17,2023-03-30 15:50:17,Large club/venue
Deus Temple,deus-temple,63ac68190f44f700e16ae0f8,644e82e529bd366c2f368cdb,2023-04-30 15:01:57,2023-04-30 15:01:57,2023-04-30 15:01:57,Mid-size club/venue
Die Weisse Rose,die-weisse-rose,63ac68190f44f700e16ae0f8,641df0d5342ca7b400c8a2df,2023-03-24 18:49:57,2023-03-24 18:49:57,2023-03-24 18:49:57,Large club/venue
Die Wühlmäuse,die-wuhlmause,63ac68190f44f700e16ae0f8,640a1d0dc0fe8514ff106ba4,2023-03-09 17:53:16,2023-03-09 17:53:16,2023-03-09 17:53:16,Large club/venue
DieTanzschuhle,dietanzschuhle,63ac68190f44f700e16ae0f8,63ffd2f21b51f84aebb4d54e,2023-03-01 22:34:26,2023-03-01 22:34:26,2023-03-01 22:34:26,Large club/venue
Dirty Velvet Drinkery,dirty-velvet-drinkery,63ac68190f44f700e16ae0f8,640a1a2d74015c3028b0b94f,2023-03-09 17:41:01,2023-03-09 17:41:01,2023-03-09 17:41:01,Bar/Restaurant/Small venue
DONAU115,donau115,63ac68190f44f700e16ae0f8,63f8efd951bcb4285f4c94d3,2023-02-24 17:11:53,2023-02-24 17:11:53,2023-02-24 17:11:53,Bar/Restaurant/Small venue
Dream Baby Dream,dream-baby-dream,63ac68190f44f700e16ae0f8,63c47f8f94eb3938da03e0ea,2023-01-15 22:34:55,2023-01-15 22:34:55,2023-01-15 22:37:23,Bar/Restaurant/Small venue
Dunckerclub,dunckerclub,63ac68190f44f700e16ae0f8,63fa47901d416a543780e3cc,2023-02-25 17:38:24,2023-02-25 17:38:24,2023-02-25 17:38:24,Large club/venue
East Side Bar,east-side-bar,63ac68190f44f700e16ae0f8,647f5642d9008b413d91687d,2023-06-06 15:52:34,2023-06-06 15:52:34,2023-06-06 15:52:34,Bar/Restaurant/Small venue
Else Club,else-club,63ac68190f44f700e16ae0f8,644bc989cafaaae9c8f4c042,2023-04-28 13:26:33,2023-04-28 13:26:33,2023-04-28 13:26:33,Large club/venue
Ernst-Reuter-Saal,ernst-reuter-saal,63ac68190f44f700e16ae0f8,6410b987c990e4d4f8678d47,2023-03-14 18:14:31,2023-03-14 18:14:31,2023-03-14 18:14:31,Large club/venue
Erstererster Gallery,erstererster-gallery,63ac68190f44f700e16ae0f8,642b016d57db2350f84343fc,2023-04-03 16:40:13,2023-04-03 16:40:13,2023-04-03 16:40:13,Mid-size club/venue
